Date,Description,Amount,Category,Vendor
2024-01-01,Office Supplies,-150.00,Office,Office Depot
2024-01-02,Client Payment - ABC Corp,2500.00,Income,ABC Corp
2024-01-03,Software License,-99.00,Software,Microsoft
2024-01-04,Internet Service,-89.99,Utilities,Comcast
2024-01-05,Client Payment - XYZ Ltd,1800.00,Income,XYZ Ltd
2024-01-06,Office Rent,-1200.00,Rent,Property Management
2024-01-07,Marketing Campaign,-500.00,Marketing,Google Ads
2024-01-08,Client Payment - DEF Inc,3200.00,Income,DEF Inc
2024-01-09,Equipment Purchase,-750.00,Equipment,Best Buy
2024-01-10,Phone Service,-45.00,Utilities,Verizon
2024-01-11,Client Payment - GHI Corp,2100.00,Income,GHI Corp
2024-01-12,Travel Expenses,-300.00,Travel,Delta Airlines
2024-01-13,Professional Services,-400.00,Professional,Law Firm
2024-01-14,Client Payment - JKL Ltd,2800.00,Income,JKL Ltd
2024-01-15,Insurance Premium,-200.00,Insurance,State Farm
2024-01-16,Client Payment - MNO Inc,1500.00,Income,MNO Inc
2024-01-17,Office Cleaning,-80.00,Office,Cleaning Service
2024-01-18,Client Payment - PQR Corp,2200.00,Income,PQR Corp
2024-01-19,Equipment Maintenance,-120.00,Equipment,Tech Support
2024-01-20,Client Payment - STU Ltd,1900.00,Income,STU Ltd
2024-01-21,Office Furniture,-850.00,Office,IKEA
2024-01-22,Client Payment - VWX Corp,3500.00,Income,VWX Corp
2024-01-23,Cloud Storage,-25.00,Software,Amazon AWS
2024-01-24,Client Payment - YZA Ltd,1650.00,Income,YZA Ltd
2024-01-25,Office Snacks,-75.00,Office,Costco
2024-01-26,Client Payment - BCD Inc,2900.00,Income,BCD Inc
2024-01-27,Website Hosting,-15.00,Software,GoDaddy
2024-01-28,Client Payment - EFG Corp,2400.00,Income,EFG Corp
2024-01-29,Office Plants,-45.00,Office,Home Depot
2024-01-30,Client Payment - HIJ Ltd,3100.00,Income,HIJ Ltd
2024-01-31,Monthly Accounting,-200.00,Professional,CPA Firm
2024-02-01,Office Supplies,-120.00,Office,Office Depot
2024-02-02,Client Payment - KLM Corp,2800.00,Income,KLM Corp
2024-02-03,Software License Renewal,-199.00,Software,Adobe
2024-02-04,Internet Service,-89.99,Utilities,Comcast
2024-02-05,Client Payment - NOP Ltd,2200.00,Income,NOP Ltd
2024-02-06,Office Rent,-1200.00,Rent,Property Management
2024-02-07,Marketing Campaign,-750.00,Marketing,Facebook Ads
2024-02-08,Client Payment - QRS Inc,3600.00,Income,QRS Inc
2024-02-09,New Computer,-1200.00,Equipment,Apple Store
2024-02-10,Phone Service,-45.00,Utilities,Verizon
2024-02-11,Client Payment - TUV Corp,1950.00,Income,TUV Corp
2024-02-12,Business Trip,-800.00,Travel,United Airlines
2024-02-13,Legal Consultation,-600.00,Professional,Law Firm
2024-02-14,Client Payment - WXY Ltd,2700.00,Income,WXY Ltd
2024-02-15,Insurance Premium,-200.00,Insurance,State Farm
2024-02-16,Client Payment - ZAB Inc,2300.00,Income,ZAB Inc
2024-02-17,Office Cleaning,-80.00,Office,Cleaning Service
2024-02-18,Client Payment - CDE Corp,3200.00,Income,CDE Corp
2024-02-19,Printer Maintenance,-150.00,Equipment,Tech Support
2024-02-20,Client Payment - FGH Ltd,1800.00,Income,FGH Ltd
2024-02-21,Office Chairs,-400.00,Office,Office Depot
2024-02-22,Client Payment - IJK Corp,2500.00,Income,IJK Corp
2024-02-23,Cloud Storage,-25.00,Software,Amazon AWS
2024-02-24,Client Payment - LMN Ltd,2100.00,Income,LMN Ltd
2024-02-25,Office Coffee,-60.00,Office,Starbucks
2024-02-26,Client Payment - OPQ Inc,3400.00,Income,OPQ Inc
2024-02-27,Website Hosting,-15.00,Software,GoDaddy
2024-02-28,Client Payment - RST Corp,2600.00,Income,RST Corp
2024-02-29,Office Plants,-35.00,Office,Home Depot
2024-03-01,Office Supplies,-180.00,Office,Office Depot
2024-03-02,Client Payment - UVW Ltd,3000.00,Income,UVW Ltd
2024-03-03,Software License,-299.00,Software,Microsoft
2024-03-04,Internet Service,-89.99,Utilities,Comcast
2024-03-05,Client Payment - XYZ Inc,2400.00,Income,XYZ Inc
2024-03-06,Office Rent,-1200.00,Rent,Property Management
2024-03-07,Marketing Campaign,-1000.00,Marketing,Google Ads
2024-03-08,Client Payment - ABC Corp,3800.00,Income,ABC Corp
2024-03-09,Conference Attendance,-1200.00,Travel,Tech Conference
2024-03-10,Phone Service,-45.00,Utilities,Verizon
2024-03-11,Client Payment - DEF Ltd,2200.00,Income,DEF Ltd
2024-03-12,Business Lunch,-120.00,Travel,Restaurant
2024-03-13,Legal Services,-800.00,Professional,Law Firm
2024-03-14,Client Payment - GHI Corp,2900.00,Income,GHI Corp
2024-03-15,Insurance Premium,-200.00,Insurance,State Farm
2024-03-16,Client Payment - JKL Inc,2100.00,Income,JKL Inc
2024-03-17,Office Cleaning,-80.00,Office,Cleaning Service
2024-03-18,Client Payment - MNO Corp,3500.00,Income,MNO Corp
2024-03-19,Equipment Repair,-300.00,Equipment,Tech Support
2024-03-20,Client Payment - PQR Ltd,1900.00,Income,PQR Ltd
2024-03-21,Office Desk,-600.00,Office,IKEA
2024-03-22,Client Payment - STU Inc,2700.00,Income,STU Inc
2024-03-23,Cloud Storage,-25.00,Software,Amazon AWS
2024-03-24,Client Payment - VWX Ltd,2300.00,Income,VWX Ltd
2024-03-25,Office Snacks,-90.00,Office,Costco
2024-03-26,Client Payment - YZA Corp,3100.00,Income,YZA Corp
2024-03-27,Website Hosting,-15.00,Software,GoDaddy
2024-03-28,Client Payment - BCD Ltd,2600.00,Income,BCD Ltd
2024-03-29,Office Plants,-50.00,Office,Home Depot
2024-03-30,Client Payment - EFG Inc,2800.00,Income,EFG Inc
2024-03-31,Monthly Accounting,-200.00,Professional,CPA Firm
2024-04-01,Office Supplies,-200.00,Office,Office Depot
2024-04-02,Client Payment - HIJ Corp,3200.00,Income,HIJ Corp
2024-04-03,Software License,-199.00,Software,Adobe
2024-04-04,Internet Service,-89.99,Utilities,Comcast
2024-04-05,Client Payment - KLM Ltd,2500.00,Income,KLM Ltd
2024-04-06,Office Rent,-1200.00,Rent,Property Management
2024-04-07,Marketing Campaign,-1200.00,Marketing,Facebook Ads
2024-04-08,Client Payment - NOP Inc,4000.00,Income,NOP Inc
2024-04-09,New Monitor,-350.00,Equipment,Best Buy
2024-04-10,Phone Service,-45.00,Utilities,Verizon
2024-04-11,Client Payment - QRS Corp,2100.00,Income,QRS Corp
2024-04-12,Client Meeting Travel,-450.00,Travel,Delta Airlines
2024-04-13,Legal Consultation,-700.00,Professional,Law Firm
2024-04-14,Client Payment - TUV Ltd,3000.00,Income,TUV Ltd
2024-04-15,Insurance Premium,-200.00,Insurance,State Farm
2024-04-16,Client Payment - WXY Inc,2400.00,Income,WXY Inc
2024-04-17,Office Cleaning,-80.00,Office,Cleaning Service
2024-04-18,Client Payment - ZAB Corp,3600.00,Income,ZAB Corp
2024-04-19,Printer Toner,-80.00,Equipment,Office Depot
2024-04-20,Client Payment - CDE Ltd,2000.00,Income,CDE Ltd
2024-04-21,Office Furniture,-500.00,Office,IKEA
2024-04-22,Client Payment - FGH Inc,2800.00,Income,FGH Inc
2024-04-23,Cloud Storage,-25.00,Software,Amazon AWS
2024-04-24,Client Payment - IJK Ltd,2200.00,Income,IJK Ltd
2024-04-25,Office Coffee,-70.00,Office,Starbucks
2024-04-26,Client Payment - LMN Corp,3300.00,Income,LMN Corp
2024-04-27,Website Hosting,-15.00,Software,GoDaddy
2024-04-28,Client Payment - OPQ Ltd,2700.00,Income,OPQ Ltd
2024-04-29,Office Plants,-40.00,Office,Home Depot
2024-04-30,Client Payment - RST Inc,2900.00,Income,RST Inc
2024-05-01,Office Supplies,-220.00,Office,Office Depot
2024-05-02,Client Payment - UVW Corp,3500.00,Income,UVW Corp
2024-05-03,Software License,-399.00,Software,Microsoft
2024-05-04,Internet Service,-89.99,Utilities,Comcast
2024-05-05,Client Payment - XYZ Ltd,2600.00,Income,XYZ Ltd
2024-05-06,Office Rent,-1200.00,Rent,Property Management
2024-05-07,Marketing Campaign,-1500.00,Marketing,Google Ads
2024-05-08,Client Payment - ABC Inc,4200.00,Income,ABC Inc
2024-05-09,Conference Registration,-800.00,Travel,Tech Conference
2024-05-10,Phone Service,-45.00,Utilities,Verizon
2024-05-11,Client Payment - DEF Corp,2300.00,Income,DEF Corp
2024-05-12,Business Dinner,-200.00,Travel,Restaurant
2024-05-13,Legal Services,-900.00,Professional,Law Firm
2024-05-14,Client Payment - GHI Ltd,3100.00,Income,GHI Ltd
2024-05-15,Insurance Premium,-200.00,Insurance,State Farm
2024-05-16,Client Payment - JKL Inc,2500.00,Income,JKL Inc
2024-05-17,Office Cleaning,-80.00,Office,Cleaning Service
2024-05-18,Client Payment - MNO Corp,3800.00,Income,MNO Corp
2024-05-19,Equipment Upgrade,-600.00,Equipment,Tech Support
2024-05-20,Client Payment - PQR Ltd,2100.00,Income,PQR Ltd
2024-05-21,Office Chairs,-300.00,Office,Office Depot
2024-05-22,Client Payment - STU Inc,3000.00,Income,STU Inc
2024-05-23,Cloud Storage,-25.00,Software,Amazon AWS
2024-05-24,Client Payment - VWX Ltd,2400.00,Income,VWX Ltd
2024-05-25,Office Snacks,-100.00,Office,Costco
2024-05-26,Client Payment - YZA Corp,3400.00,Income,YZA Corp
2024-05-27,Website Hosting,-15.00,Software,GoDaddy
2024-05-28,Client Payment - BCD Ltd,2800.00,Income,BCD Ltd
2024-05-29,Office Plants,-55.00,Office,Home Depot
2024-05-30,Client Payment - EFG Inc,3200.00,Income,EFG Inc
2024-05-31,Monthly Accounting,-200.00,Professional,CPA Firm
2024-06-01,Office Supplies,-250.00,Office,Office Depot
2024-06-02,Client Payment - HIJ Corp,3700.00,Income,HIJ Corp
2024-06-03,Software License,-299.00,Software,Adobe
2024-06-04,Internet Service,-89.99,Utilities,Comcast
2024-06-05,Client Payment - KLM Ltd,2700.00,Income,KLM Ltd
2024-06-06,Office Rent,-1200.00,Rent,Property Management
2024-06-07,Marketing Campaign,-1800.00,Marketing,Facebook Ads
2024-06-08,Client Payment - NOP Inc,4500.00,Income,NOP Inc
2024-06-09,New Laptop,-1500.00,Equipment,Apple Store
2024-06-10,Phone Service,-45.00,Utilities,Verizon
2024-06-11,Client Payment - QRS Corp,2200.00,Income,QRS Corp
2024-06-12,Client Meeting Travel,-600.00,Travel,United Airlines
2024-06-13,Legal Consultation,-1000.00,Professional,Law Firm
2024-06-14,Client Payment - TUV Ltd,3300.00,Income,TUV Ltd
2024-06-15,Insurance Premium,-200.00,Insurance,State Farm
2024-06-16,Client Payment - WXY Inc,2600.00,Income,WXY Inc
2024-06-17,Office Cleaning,-80.00,Office,Cleaning Service
2024-06-18,Client Payment - ZAB Corp,4000.00,Income,ZAB Corp
2024-06-19,Printer Maintenance,-200.00,Equipment,Tech Support
2024-06-20,Client Payment - CDE Ltd,2300.00,Income,CDE Ltd
2024-06-21,Office Desk,-700.00,Office,IKEA
2024-06-22,Client Payment - FGH Inc,2900.00,Income,FGH Inc
2024-06-23,Cloud Storage,-25.00,Software,Amazon AWS
2024-06-24,Client Payment - IJK Ltd,2500.00,Income,IJK Ltd
2024-06-25,Office Coffee,-80.00,Office,Starbucks
2024-06-26,Client Payment - LMN Corp,3600.00,Income,LMN Corp
2024-06-27,Website Hosting,-15.00,Software,GoDaddy
2024-06-28,Client Payment - OPQ Ltd,3000.00,Income,OPQ Ltd
2024-06-29,Office Plants,-60.00,Office,Home Depot
2024-06-30,Client Payment - RST Inc,3100.00,Income,RST Inc
2024-07-01,Office Supplies,-280.00,Office,Office Depot
2024-07-02,Client Payment - UVW Corp,3900.00,Income,UVW Corp
2024-07-03,Software License,-499.00,Software,Microsoft
2024-07-04,Internet Service,-89.99,Utilities,Comcast
2024-07-05,Client Payment - XYZ Ltd,2800.00,Income,XYZ Ltd
2024-07-06,Office Rent,-1200.00,Rent,Property Management
2024-07-07,Marketing Campaign,-2000.00,Marketing,Google Ads
